location_count,method_count,file_count
5,5,5
9,9,9
8,8,8
1,4,4
3,3,3
12,12,12
12,12,12
11,11,11
2,3,5
3,12,16
3,11,11
1,7,7
0,5,5
0,5,5
0,2,2
0,23,23
0,23,23
9,11,11
12,12,12
4,4,4
11,11,11
7,7,7
6,6,6
7,7,7
12,12,12
5,5,5
4,4,4
12,12,12
4,4,4
6,6,6
3,3,3
5,5,5
12,12,38
3,12,38
3,12,38
5,5,5
10,10,10
4,4,4
5,5,5
4,4,4
5,5,5
5,5,5
5,5,5
5,5,5
12,12,12
12,12,12
12,12,12
11,11,11
10,11,24
10,12,24
12,12,12
5,5,5
8,11,11
12,12,12
1,12,12
1,12,51
1,12,51
3,12,51
12,12,51
1,12,62
1,25,62
0,11,62
1,25,62
0,11,62
1,13,37
2,11,37
0,11,37
3,12,12
12,12,12
3,13,23
3,9,23
5,5,5
9,9,9
8,8,8
2,4,4
3,3,3
12,12,12
3,12,12
11,11,11
2,3,5
6,9,9
8,12,16
5,11,11
2,23,23
2,23,23
11,11,11
12,12,12
11,11,11
12,12,12
12,12,12
12,12,38
8,12,38
8,12,38
10,10,10
6,6,6
12,12,12
12,12,12
12,12,12
11,11,11
8,12,24
11,11,24
9,9,9
12,12,12
8,11,11
12,12,12
9,9,9
10,12,12
7,12,51
7,12,51
7,12,51
12,12,51
8,12,62
8,11,62
8,11,62
7,25,62
9,25,62
7,13,37
7,11,37
7,11,37
2,12,12
12,12,12
3,3,56
3,3,56
3,3,56
3,3,56
3,3,56
3,3,56
3,3,56
3,3,56
3,3,56
3,3,56
3,3,56
3,7,56
3,3,56
3,7,56
3,3,5
3,13,23
3,9,23
3,13,23
9,9,9
8,8,8
12,12,12
10,12,12
11,11,11
6,9,9
6,12,16
1,11,11
5,23,23
5,23,23
11,11,11
12,12,12
11,11,11
12,12,12
12,12,12
12,12,38
8,12,38
8,12,38
10,10,10
6,6,6
12,12,12
12,12,12
12,12,12
11,11,11
11,11,24
8,12,24
9,9,9
12,12,12
8,11,11
12,12,12
9,9,9
10,12,12
7,12,51
7,12,51
12,12,51
7,12,51
9,25,62
8,11,62
8,11,62
8,12,62
7,25,62
7,11,37
7,13,37
7,11,37
0,12,12
12,12,12
3,3,56
3,3,56
3,3,56
3,3,56
3,3,56
3,3,56
3,3,56
3,3,56
3,3,56
3,7,56
3,3,56
3,3,56
3,7,56
3,3,56
3,3,5
3,13,23
3,9,23
3,13,23
9,9,9
8,8,8
12,12,12
10,12,12
11,11,11
6,9,9
6,12,16
1,11,11
5,23,23
5,23,23
11,11,11
12,12,12
11,11,11
12,12,12
12,12,12
8,12,38
12,12,38
8,12,38
10,10,10
6,6,6
12,12,12
12,12,12
12,12,12
11,11,11
8,12,24
11,11,24
9,9,9
12,12,12
8,11,11
12,12,12
9,9,9
10,12,12
12,12,51
7,12,51
7,12,51
7,12,51
8,12,62
8,11,62
8,11,62
9,25,62
7,25,62
7,11,37
7,13,37
7,11,37
0,12,12
12,12,12
3,3,56
3,3,56
3,3,56
3,3,56
3,3,56
3,3,56
3,3,56
3,3,56
3,3,56
3,3,56
3,7,56
3,3,56
3,3,56
3,7,56
3,3,5
3,13,23
3,13,23
3,9,23
9,9,9
8,8,8
12,12,12
10,12,12
11,11,11
6,9,9
2,3,16
6,12,16
3,11,11
3,7,7
5,23,23
5,23,23
11,11,11
12,12,12
11,11,11
7,7,7
6,6,6
7,7,7
12,12,12
12,12,12
6,6,6
12,12,38
8,12,38
8,12,38
10,10,10
6,6,6
12,12,12
12,12,12
12,12,12
11,11,11
8,12,24
11,11,24
9,9,9
12,12,12
2,11,11
12,12,12
9,9,9
10,12,12
12,12,51
7,12,51
7,12,51
7,12,51
8,12,62
8,11,62
8,11,62
7,25,62
9,25,62
7,13,37
7,11,37
7,11,37
3,12,12
12,12,12
12,12,12
10,12,12
11,11,11
